Target_Ticker,Target_Name,Candidate_Ticker,Candidate_Name,Distance
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IWP,iShares Russell Midcap Growth ETF,1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IXP,iShares Global Comm Services ETF,1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",RVP,"Retractable Technologies, Inc. Common Stock",1
INTC,Intel Corporation - Common Stock,BNTC,Benitec Biopharma Inc. - Common Stock,1
INTC,Intel Corporation - Common Stock,INTA,"Intapp, Inc. - Common Stock",1
INTC,Intel Corporation - Common Stock,INTG,The Intergroup Corporation - Common Stock,1
INTC,Intel Corporation - Common Stock,INTS,"Intensity Therapeutics, Inc. - Common Stock",1
INTC,Intel Corporation - Common Stock,INTU,Intuit Inc. - Common Stock,1
INTC,Intel Corporation - Common Stock,INTZ,Intrusion Inc. - Common Stock,1
INTC,Intel Corporation - Common Stock,IRTC,"iRhythm Technologies, Inc. - Common Stock",1
INTC,Intel Corporation - Common Stock,IETC,iShares U.S. Tech Independence Focused ETF,1
INTC,Intel Corporation - Common Stock,INTT,inTest Corporation Common Stock,1
VMAR,Vision Marine Technologies Inc. - Common Shares,MAR,Marriott International - Class A Common Stock,1
VMAR,Vision Marine Technologies Inc. - Common Shares,VRAR,"The Glimpse Group, Inc. - Common Stock",1
VMAR,Vision Marine Technologies Inc. - Common Shares,BMAR,Innovator U.S. Equity Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,DMAR,FT Vest U.S. Equity Deep Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,FMAR,FT Vest U.S. Equity Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,GMAR,FT Vest U.S. Equity Moderate Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,IMAR,Innovator International Developed Power Buffer ETF  March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,KMAR,Innovator U.S. Small Cap Power Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,NMAR,Innovator Growth-100 Power Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,PMAR,Innovator U.S. Equity Power Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,QMAR,FT Vest Nasdaq-100 Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,TMAR,FT Vest Emerging Markets Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,UMAR,Innovator U.S. Equity Ultra Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,XMAR,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,YMAR,FT Vest International Equity Moderate Buffer ETF - March,1
VMAR,Vision Marine Technologies Inc. - Common Shares,ZMAR,Innovator Equity Defined Protection ETF - 1 Yr March,1
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",WRD,WeRide Inc. - American Depositary Shares,1
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",WWD,"Woodward, Inc. - Common Stock",1
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",BBD,Banco Bradesco Sa American Depositary Shares,1
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",DBD,Diebold Nixdorf Incorporated Common stock,1
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",IBD,Inspire Corporate Bond ETF,1
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",PBD,Invesco Global Clean Energy ETF,1
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",WBS,Webster Financial Corporation Common Stock,1
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",WD,"Walker & Dunlop, Inc Common Stock",1
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",WHD,"Cactus, Inc. Class A Common Stock",1
