Target,Candidate,Overall_Corr,Best_Time,Best_Time_Corr,Correlation_Lift,General_Corr_At_Best_Time,Hedged_Return_Mean,Unhedged_Return_Mean,Hedged_Sharpe,Unhedged_Sharpe,Alpha_BasisPoints,Distance,Target_Name,Candidate_Name,Keyboard_Proximate,Buying_Pressure_Corr_All
AMZN,AMGN,-0.06606788147956354,15:00:00,0.2729276645922606,0.33899554607182414,0.11560628838651396,-4.724530065693302e-05,-3.445984578288171e-05,-0.08419813009804403,-0.06192448593273051,-0.12785454874051308,1,"Amazon.com, Inc. - Common Stock",Amgen Inc. - Common Stock,False,
AMZN,AZN,0.19717285786801622,14:30:00,0.49959361333167424,0.302420755463658,0.28797538693182856,1.77730120493546e-05,8.484030025799809e-05,0.014283474662296416,0.06661516488836199,-0.6706728820864348,1,"Amazon.com, Inc. - Common Stock",AstraZeneca PLC - American Depositary Shares,False,
AMZN,AIZN,0.00553301700192105,N/A,0.0,,,,,,,,1,"Amazon.com, Inc. - Common Stock","Assurant, Inc. 5.25% Subordinated Notes due 2061",False,-0.10897023276658081
AMZN,AMN,0.012587916681002953,19:00:00,0.17866623897607004,0.16607832229506708,-0.049326292445264146,5.232363194256997e-05,3.358101711142751e-05,0.16378001189361668,0.15125977255574233,0.18742614831142457,1,"Amazon.com, Inc. - Common Stock",AMN Healthcare Services Inc,False,
AMZN,AMZE,-0.06954171205068288,18:30:00,0.15561868853698155,0.22516040058766443,0.009672600274166318,4.1106630529847636e-05,3.328856687338895e-05,0.054505034513076214,0.10467880465838018,0.07818063656458683,1,"Amazon.com, Inc. - Common Stock","Amaze Holdings, Inc. Common Stock",False,
RGTI,RGTIW,0.703455723817767,15:00:00,0.678977483419908,-0.024478240397858952,0.7411505196477957,-0.00041467902941810705,-1.4017996142768568e-05,-0.1608018782030748,-0.004396453200694092,-4.006610332753385,1,"Rigetti Computing, Inc.  - Common stock","Rigetti Computing, Inc.  - Redeemable warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",False,
RGTI,RMTI,0.014104559516574617,20:00:00,0.27762733031958264,0.263522770803008,0.20045912075891814,0.0006784810251107662,0.0005531865182821676,0.23270246422875632,0.1942092660606561,1.252945068285986,1,"Rigetti Computing, Inc.  - Common stock","Rockwell Medical, Inc. - Common Stock",False,
DNN,DENN,0.021407167042927236,20:30:00,0.2552191146004314,0.23381194755750417,-0.033563396291687184,-0.0003251583136230966,-0.00033273233350951853,-0.2027146905925229,-0.20880283368883473,0.07574019886421929,1,Denison Mines Corp Ordinary Shares (Canada),Denny's Corporation - Common Stock,False,
DNN,DYN,0.04652939484413768,18:30:00,0.24976012370184633,0.20323072885770865,-0.0860939097608212,-9.959584735249436e-05,-0.00010808441873779875,-0.06547306709388782,-0.07370255310236434,0.08488571385304391,1,Denison Mines Corp Ordinary Shares (Canada),"Dyne Therapeutics, Inc. - Common Stock",False,
DNN,NN,0.15385418631363057,19:30:00,0.25554716306314323,0.10169297674951266,0.12998478027077293,1.5831707027149604e-05,2.4370879866734923e-05,0.009785583486850505,0.014970399754432722,-0.0853917283958532,1,Denison Mines Corp Ordinary Shares (Canada),NextNav Inc. - Common stock,False,
DNN,DAN,0.18839794569662616,14:30:00,0.3261988464840155,0.13780090078738932,0.42850528959356565,0.0003449721341985767,0.00035358262064478634,0.08091475096070204,0.07738233873429252,-0.08610486446209635,1,Denison Mines Corp Ordinary Shares (Canada),Dana Incorporated Common Stock ,False,
DNN,DIN,-0.04379814344884432,15:30:00,0.296980916810981,0.3407790602598253,0.1261818832585578,0.00010745309364029628,0.00012187915337094624,0.04202113395808095,0.047420834608617866,-0.1442605973064995,1,Denison Mines Corp Ordinary Shares (Canada),"Dine Brands Global, Inc. Common Stock",False,
DNN,DLN,0.23455812448974037,17:00:00,0.5212448961590238,0.28668677166928347,0.358039854662716,2.6666856035204112e-05,3.8788771146304665e-05,0.015239672943267663,0.02177597296449168,-0.12121915111100552,1,Denison Mines Corp Ordinary Shares (Canada),WisdomTree U.S. LargeCap Dividend Fund,False,
DNN,DNA,0.16810318688940165,16:00:00,0.4772605057107407,0.309157318821339,0.26315196444013395,5.417517154638047e-05,6.069439406441348e-05,0.028804258235711703,0.031670687047424984,-0.06519222518033008,1,Denison Mines Corp Ordinary Shares (Canada),"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",False,
DNN,DON,0.23026502195240142,16:00:00,0.5947414886307302,0.3644764666783288,0.4475524682451363,0.00026972511715498863,0.00023038466122851704,0.1144193972849144,0.09339162036884366,0.39340455926471585,1,Denison Mines Corp Ordinary Shares (Canada),WisdomTree U.S. MidCap Dividend Fund,False,
DNN,DRN,0.02389202551557598,17:30:00,0.6134468834913515,0.5895548579757754,0.15980916578609217,-0.00040255536508393945,-0.00031944086155641117,-0.17337566471092095,-0.135938478236178,-0.8311450352752828,1,Denison Mines Corp Ordinary Shares (Canada),Direxion Daily Real Estate Bull 3X Shares,False,
DNN,DVN,0.13489120327370283,14:30:00,0.21823647666413326,0.08334527339043044,0.259398701251079,0.0003027568758453122,0.00032523910659938395,0.07468233147300919,0.07838037151127761,-0.22482230754071766,1,Denison Mines Corp Ordinary Shares (Canada),Devon Energy Corporation Common Stock,False,
DNN,INN,0.07921871761433069,17:30:00,0.4737578399966361,0.39453912238230543,0.2196530083532807,-0.00012134644852315275,-0.0001625524963977854,-0.06257978186461485,-0.08178456881762763,0.4120604787463264,1,Denison Mines Corp Ordinary Shares (Canada),"Summit Hotel Properties, Inc. Common Stock",False,
DNN,LNN,0.030202046703056887,15:30:00,0.5564522750818264,0.5262502283787694,-0.041554428156421075,0.00038850592931313814,0.00032438989363633194,0.08517147243088609,0.08818380659074372,0.641160356768062,1,Denison Mines Corp Ordinary Shares (Canada),Lindsay Corporation Common Stock,False,
DNN,NNN,-0.04370163138604964,17:00:00,0.1898887163250442,0.23359034771109383,0.0005122128505329962,-1.8988421444318925e-05,-2.003543195486944e-05,-0.012487214409279229,-0.013185695051483419,0.010470105105505143,1,Denison Mines Corp Ordinary Shares (Canada),"NNN REIT, Inc. Common Stock",False,
DNN,SNN,-0.03692337397976565,18:30:00,0.3817178632438292,0.41864123722359486,0.15422708470892427,-0.00020558791022171603,-0.00020622096039752484,-0.12803674229884213,-0.12731803739709038,0.006330501758088124,1,Denison Mines Corp Ordinary Shares (Canada),"Smith & Nephew SNATS, Inc. Common Stock",True,
NVD,NVDA,-0.8874975443726094,19:30:00,-0.25137587273804196,0.6361216716345675,-0.46878744240767767,4.820958038767671e-05,5.490433721489141e-05,0.0609920087131846,0.06647742482543177,-0.06694756827214696,1,GraniteShares 2x Short NVDA Daily ETF,NVIDIA Corporation - Common Stock,False,
NVD,AVD,-0.12286294380836209,17:00:00,0.2723113028934031,0.3951742467017652,0.129066053277421,-0.00035528061153096814,-0.0001797811558432172,-0.1979340701342245,-0.10166053755479643,-1.7549945568775096,1,GraniteShares 2x Short NVDA Daily ETF,American Vanguard Corporation Common Stock ($0.10 Par Value),False,
NVD,FVD,0.22400782724529364,19:30:00,0.2888913048662987,0.06488347762100508,0.18879730642317957,0.00011664322704171852,0.00011610220572283583,0.13261843074949026,0.13095989780503697,0.00541021318882688,1,GraniteShares 2x Short NVDA Daily ETF,First Trust VL Dividend,False,
NVD,NAD,0.012657563016954752,14:30:00,0.5400887191946742,0.5274311561777194,0.07747323553708536,-0.0008834570208069059,-0.0008769756693389741,-0.19583949005766618,-0.19381878263832675,-0.0648135146793182,1,GraniteShares 2x Short NVDA Daily ETF,Nuveen Quality Municipal Income Fund Common Stock,False,
NVD,NGD,-0.39013460134438543,19:00:00,0.1807137641188917,0.5708483654632771,-0.0556249520235448,-9.464372159559027e-05,-9.186284087689917e-05,-0.09753085080842523,-0.09787370924599557,-0.027808807186911023,1,GraniteShares 2x Short NVDA Daily ETF,New Gold Inc.,True,
NVD,NVO,-0.05203216040914096,14:30:00,0.5609767425303915,0.6130089029395325,-0.07010970569348322,-0.001029790698659911,-0.0006489501432882342,-0.1598500902622613,-0.1645245378523309,-3.8084055537167685,1,GraniteShares 2x Short NVDA Daily ETF,Novo Nordisk A/S Common Stock,False,
NVD,NVR,-0.13199291061898644,18:30:00,0.35653459267443044,0.4885275032934169,0.022557385921391115,-0.0002340498076213921,-0.0002467128702348109,-0.17511688389739744,-0.1959595437491529,0.12663062613418816,1,GraniteShares 2x Short NVDA Daily ETF,"NVR, Inc. Common Stock",True,
NVD,NVS,-0.06634327219209335,15:30:00,0.2862769482406361,0.35262022043272945,-0.00747244771600675,-0.00017220974720835158,-0.00017459251234796996,-0.11638209769626988,-0.11841124613721549,0.023827651396183765,1,GraniteShares 2x Short NVDA Daily ETF,Novartis AG Common Stock,True,
HIHO,HIPO,-0.1109818243740362,15:30:00,0.3791893507131621,0.4901711750871983,0.25177789531829703,0.0035365606848748207,0.003622396918696364,0.13117759622009506,0.13319240029489776,-0.8583623382154345,1,Highway Holdings Limited - Common Stock,Hippo Holdings Inc. Common Stock,False,
BITO,BITF,0.29158378496781934,16:00:00,0.39741210531808757,0.10582832035026823,0.4010790368095151,5.539216982433448e-05,0.0001047009813285545,0.054521171254082665,0.10972801025550702,-0.49308811504220024,1,ProShares Bitcoin ETF,Bitfarms Ltd. - Common Stock,False,
BITO,IBTO,-0.015680056970363385,15:00:00,0.5124325042120619,0.5281125611824252,0.022402635238575625,-0.00020910540157593368,-0.0001792707200909474,-0.07464242613677773,-0.06398237839562672,-0.29834681484986264,1,ProShares Bitcoin ETF,iShares iBonds Dec 2033 Term Treasury ETF,False,
BITO,NITO,-0.08063728050022309,N/A,0.0,,,,,,,,1,ProShares Bitcoin ETF,"N2OFF, Inc. - Common Stock",True,-0.40272653241664935
BITO,BIO,0.045572433241436214,20:30:00,0.2745128291136143,0.22894039587217807,0.19526330618884957,1.6640835812464337e-05,4.0349600098939e-05,0.01785425265432137,0.04252466606014482,-0.23708764286474665,1,ProShares Bitcoin ETF,"Bio-Rad Laboratories, Inc. Class A Common Stock",False,
BITO,BTO,0.23377810814895733,16:00:00,0.2665579800425888,0.03277987189363146,0.12553347120748204,0.0006987945657077924,0.0006290588780783693,0.31553887348797804,0.2904467827773736,0.6973568762942315,1,ProShares Bitcoin ETF,John Hancock Financial Opportunities Fund Common Stock,False,
